NDC,ATC4 Class
36800016626,G02CC
00378534001,C08DB
16714085001,N06AA
57237012299,B01AA
62856024630,N06DA
51991096158,A06AD
00378628110,M02AA
00115166003,C07AA
60432060616,R06AD
63323027065,N01AX
55150016830,N01BB
45802006070,S01AA
00641602510,N02AB
68084023001,J01EE
60505075104,J01DD
64253020230,A12CA
51079002420,C03BA
00113098726,R01AA
00338350841,J01DB
62332004830,C09DA
00574027505,A12BA
62756013805,N02BF
00054024324,R05DA
70000017605,M02AA
16252051401,S02AA
62011033202,A02BC
16714062601,N03AX
65862014905,D11AX
16714093001,L01BC
66993057630,B01AC
00378008401,C09BA
63323048257,C01CA
16729043293,N05CM
52565004060,D07AC
68180054503,S01BA
64980019401,C09BA
51672212001,B05CA
51079099101,N02AX
24208063562,C05AA
71288040211,C05BA
49884078811,C09CA
65862048999,N05AH
00006542515,V03AB
49483006310,B03AA
44183085009,N02CC
70069001125,A03AB
51672129001,S01BA
00113006764,J01XX
54879000460,S03BA
00944251202,B06AA
61442010201,D11AX
68094049458,G02CC
00009752903,L01CE
69367019890,R01BA
63323011805,C05BA
68645046354,C02CA
00187519050,G01AA
00065179504,B05XA
68462069497,N02CC
00078031434,C09DA
17478071810,R06AX
00172376260,C09AA
00574705050,A06AB
31722070730,S01AD
00006008062,A10BA
43547040350,C03CA
63323047637,N01BA
68462031435,G01AA
52565005460,C05AA
00641614901,S01EB
70000020401,S01BA
51991074990,G04CB
59746033830,C03AA
63323066501,R03AC
15127017807,A06AD
00472052794,R06AX
00597015561,R03AL
23155029042,S01AA
63323034410,J01DD
49884005401,N06AA
00113016626,G02CC
00536106139,M02AX
62175043046,J01FA
66220028708,G02CC
00186198904,D07AC
68180087511,L02AA
68382007216,B01AC
44523060612,D10AF
60687032501,C09AA
24385052403,D01AE
62559070230,C10AA
63481052910,A07AA
59088081000,C01BB
68180083711,G03CA
45802024414,D07CB
00023916360,S01XA
00555015902,N05BA
68084059811,C08CA
58657064510,M03BA
65162047505,G03AC
45802014301,S03AA
13668021630,N05AX
00338064404,B05BA
51862037660,D05AX
62756026002,N03AX
23594050550,C05AA
50102024023,G03CA
00135009826,A06AD
60505100301,S01BC
00074012403,L04AB
00378827055,R03CC
68134020116,M01AE
51672300302,H02AB
00713066837,A07EA
65862008105,A10BB
71288040210,S01XA
00904653720,C01CA
36800057201,R01AD
37205049178,B03BA
57664014634,D04AA
57237003101,A02BC
00703856021,B01AB
68462065629,G03AB
54643564601,D03AX
68084031911,N03AX
69238117503,D10BA
62559066090,C09CA
68382004101,R06AD
68308048047,N02AA
33342010207,R03DC
70000020701,R06AA
68645052154,N06AB
52565012207,D04AB
69543013650,N02AX
00904646320,R01AB
24385020503,D01AC
51645078508,A02AA
00472073556,G01AF
68462013117,R03BA
55111020360,N05AX
10631013431,D10BA
68462079965,H02AB
00378689801,C09AA
61442022305,S02AA
27241000150,N05AX
00378019901,S01EA
00781189201,C09AA
65862064230,J01FA
63739027201,B01AC
70710123301,S03BA
49483006101,R06AA
69543037930,B05XA
63323048837,C01BB
42858020150,N02AJ
50458094001,A10BD
51991045758,A06AD
68682045570,A01AB
57237012501,B01AA
29033003630,D10AX
63323076294,L01CE
00003029305,A01AC
16729018301,C03AA
13668048405,A01AB
62011006101,R05FA
52536010313,D10AF
00228291809,C05AE
00409317803,S01EA
00832532210,B05XA
42358040032,N02AB
00065041880,S01XA
51862004791,G03AC
00172208960,C03AA
70000032901,D01AE
00143125751,C03AA
63323048557,D04AB
00409672909,V04CC
00113046708,B01AC
45802000403,S02BA
25021015899,A07AA
00378632205,C09DA
00168001135,R02AB
00472006673,D11AX
68180074106,G04CA
00409317701,R02AD
60687040579,R03AC
00536430605,A06AC
50419042401,G03AD
16729017101,N06AA
00781235331,A02BC
64380072506,L04AA
68180029606,N06AX
59746028230,J02AC
00168030960,S01BA
00536102107,J01AA
00316019330,D07AA
00069306086,S01AA
29300013905,N03AG
70954014010,A16AA
50242004413,B01AD
67457044560,J04AB
00591074401,N05CD
00904530909,G02CC
00555902858,B03AE
31722082211,N07XX
00603544825,C01BC
62175011837,A02BC
42806017830,G01AA
00338050206,B05BA
64980026001,H03BB
16714044601,N06AA
00187099445,D06BB
00713055550,J01AA
00338008504,B05CB
52565001915,H02AB
68462032590,M02AA
00093803401,A10BB
00069311019,S01AA
51991085401,A10BX
69367019530,B05CB
00143931724,J01MA
00409488820,B05XA
29300013601,N02CX
68180072103,C08CA
60432067160,S01AA
69097081703,N03AX
00641036721,H02AB
63824072283,N01BA
70069002501,H02AB
59762372104,N05BA
00067001648,A06AB
57237014705,C09AA
60505024901,N06AX
24208029525,R01AD
70000010801,A06AG
00008104105,L01EG
00409733503,J01DD
63323048457,R02AD
50268052215,R06AE
00517072001,D07XC
10702002510,A08AA
63868008405,N02BE
00597004437,C09DA
00456111030,N06AX
00299382060,P01AB
16714044801,N06AA
64125014001,A03AB
00904630361,C07AG
00068059901,J04AB
00409610235,C03CA
17478020102,S01GA
00378802335,S01GX
31722083430,J05AF
70700011385,B03AE
00113095702,N07BA
50991082616,R06AB
49348091301,B05CX
00168008031,D07XA
62011009102,R05CA
00574414435,S02AA
42806001105,M01AB
57237010901,C08CA
70710113908,D01AC
00641041012,C05BA
00264762200,A12CA
67457052300,J01CG
61703032618,M05BA
62011021401,M01AE
63304062410,C03CA
42571031375,C08DA
00904667840,N02AA
58657061110,C09CA
67457042312,S03BA
16714040504,G03DC
00008104105,S01XA
50102011112,G03AC
62011009501,S01BA
51672135802,M02AA
31722070530,J05AB
00904664524,N02BE
00187517245,D10AD
00904699061,R01BA
00168027860,D07AC
00591531901,D04AA
00378580793,C09CA
63323041210,N05CD
63868019725,J02AB
00781214501,J01CA
45802088096,D01AA
68462031435,S01BA
00169413211,A10BJ
00113090626,R06AB
00074455290,H03AA
51862045504,S01EA
00338355148,A07AA
00093031105,A07DA
61314022705,S01ED
00781751787,A07EA
25021020245,L01XA
00409653102,S01AA
16714095501,J02AB
42806009430,B05XA
60432006500,J01CA
46122008172,A12AX
68462050166,D05AX
50102012803,B03AA
00378911693,C05AE
00713065937,D07AC
00143978710,C09AA
63323046905,N05AD
00228282011,C03AA
66689033950,G02CC
45802024414,R01AD
49884024801,N06BA
00093172001,B01AA
00002411730,N05AH
31722090305,N06AB
16714084101,C01BD
00173051900,B01AC
60793041130,M02AA
50268041124,S02BA
62559049001,A07DA
59746036190,C09CA
00168015431,S02BA
12496120201,N07BC
69238131009,N02BF
45802000822,R06AX
63323049237,N01BB
00006537407,A10BD
76329301205,D04AB
