index,unique_id,ds,Naive,Naive-lo-95,Naive-hi-95,HistoricAverage,HistoricAverage-lo-95,HistoricAverage-hi-95,WindowAverage,WindowAverage-lo-95,WindowAverage-hi-95,SeasonalNaive,SeasonalNaive-lo-95,SeasonalNaive-hi-95,ARIMA,ARIMA-lo-95,ARIMA-hi-95,SARIMA,SARIMA-lo-95,SARIMA-hi-95,HoltWinters,HoltWinters-lo-95,HoltWinters-hi-95,DynamicOptimizedTheta,DynamicOptimizedTheta-lo-95,DynamicOptimizedTheta-hi-95
120,IN_D05,2025-01-01,3276.0,777.6809,5774.3193,2493.75,-1010.11774,5997.6177,4908.0,1071.4253,8744.575,4908.0,1071.4253,8744.575,3276.0,777.68085,5774.3193,3276.0,777.68085,5774.3193,4826.64,2015.5636,7637.717,4140.4854,2070.3147,6606.019
121,IN_D05,2025-04-01,3276.0,-257.15677,6809.1567,2493.75,-1010.11774,5997.6177,4465.0,628.4253,8301.575,4465.0,628.4253,8301.575,3276.0,-257.15683,6809.1567,3276.0,-257.15683,6809.1567,4901.026,2089.949,7712.1025,4140.4854,875.45135,7126.2505
122,IN_D05,2025-07-01,3276.0,-1051.2156,7603.216,2493.75,-1010.11774,5997.6177,6835.0,2998.4253,10671.575,6835.0,2998.4253,10671.575,3276.0,-1051.2157,7603.216,3276.0,-1051.2157,7603.216,4914.26,2103.1829,7725.337,4140.4854,305.01932,7638.805
123,IN_D05,2025-10-01,3276.0,-1720.6382,8272.639,2493.75,-1010.11774,5997.6177,3276.0,-560.5747,7112.5747,3276.0,-560.5747,7112.5747,3276.0,-1720.6383,8272.639,3276.0,-1720.6383,8272.639,4987.768,2176.691,7798.845,4140.4854,409.5858,7975.759
124,IN_D06,2025-01-01,5713.0,-7711.578,19137.578,14478.194,732.1316,28224.258,6444.0,-13470.35,26358.35,6444.0,-13470.35,26358.35,10036.989,-1892.0636,21966.043,10036.989,-1892.0636,21966.043,2199.923,-11429.238,15829.085,5361.778,-5207.8955,17950.057
125,IN_D06,2025-04-01,5713.0,-13272.221,24698.22,14478.194,732.1316,28224.258,5345.0,-14569.35,25259.35,5345.0,-14569.35,25259.35,12182.972,-1134.4182,25500.361,12182.972,-1134.4182,25500.361,2568.6016,-13442.624,18579.826,5361.778,-9639.787,19700.846
126,IN_D06,2025-07-01,5713.0,-17539.05,28965.05,14478.194,732.1316,28224.258,2708.0,-17206.35,22622.35,2708.0,-17206.35,22622.35,13248.017,-389.6595,26885.693,13248.017,-389.6595,26885.693,2502.1611,-15580.731,20585.053,5361.778,-12671.258,21729.996
127,IN_D06,2025-10-01,5713.0,-21136.156,32562.156,14478.194,732.1316,28224.258,5713.0,-14201.35,25627.35,5713.0,-14201.35,25627.35,13776.595,61.177036,27492.014,13776.595,61.177036,27492.014,4716.857,-15224.282,24657.996,5361.778,-11654.829,22589.22
128,IN_D07,2025-01-01,79790.0,41416.562,118163.44,57806.445,18934.037,96678.85,68374.0,22603.826,114144.17,68374.0,22603.826,114144.17,75495.664,41235.45,109755.88,75495.664,41235.45,109755.88,75362.54,39074.82,111650.266,75529.3,46696.066,109869.125
129,IN_D07,2025-04-01,79790.0,25521.764,134058.23,57806.445,18934.037,96678.85,104616.0,58845.83,150386.17,104616.0,58845.83,150386.17,75495.664,38386.703,112604.625,75495.664,38386.703,112604.625,82807.22,46519.492,119094.94,75529.3,39254.004,112452.51
