unique_id,metric,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_P02,mae,1253.0,16846.921875,1294.375,1107.75,16846.921875000004,13152.455243277836,23964.595256468856,6590.058708921569
IN_P03,mae,73144.625,234081.89375000005,112388.875,112388.875,75215.60955867909,32824.88012584875,36996.02227654285,49296.56227998271
IN_R01,mae,370531.3414999999,206777.028,495098.8199999999,495098.81999999995,230174.25633796147,230174.25633796147,261204.1999315116,380414.5594640709
IN_R02,mae,880213.4040000001,652015.94571875,442821.01037499995,689411.74275,652015.9457187502,740323.835332372,546113.6778885272,598712.7115377903
IN_R03,mae,2929836.952500001,1197128.56803125,2093914.1,2093914.1000000006,2750386.7091266746,2765500.212633187,2874225.050490438,2512643.2729227147
IN_R05,mae,655831.3767499998,577810.1271562497,166648.13162499992,346227.7415,339191.79939800245,339191.79939800245,321219.6581139222,161988.78824999998
IN_R06,mae,2292751.97875,988703.7197187496,1576195.45125,1576195.45125,988703.7197187515,988703.7197187515,1547257.0079593242,1992826.0035944898
IN_R07,mae,1512.0,24131.375,2149.0,2793.0,9357.68519070515,9357.68519070515,9389.495541513414,9270.351076981462
IN_S01,mae,1988147.9042499997,466297.0594999995,178139.69312499976,1605686.4884999997,466297.0594999986,803848.5528701991,390748.2247563163,315125.1378294742
IN_S02,mae,963092.104,954942.52978125,848974.7115,934672.743,954942.52978125,954942.52978125,1112384.4320961565,999572.2459643178
IN_S03,mae,1682424.67825,1590353.502796875,1697198.4465,1697496.86675,1590353.5027968748,1590353.5027968748,1502796.6516909592,1587890.7971798417
IN_V03,mae,426414.23150000005,319348.27465624997,486044.104625,844858.9767500001,521023.9922549075,575017.8032124928,649270.3746430135,503665.60671742953
IN_V04,mae,535025.292,174702.70278125,487544.292,487544.292,525267.0040044071,525267.0040044071,142699.33090988145,464298.47051336936
IN_V06,mae,33663.5,62284.51025000001,33663.5,62863.5,56781.48719341078,62284.51024999999,54374.34906848782,33810.702748764845
IN_V07,mae,30324.7785,63670.37475,58882.911749999956,79783.18725000002,63670.37475000006,63670.37475000006,69537.22040327755,52539.94978749151
IN_A01,mse,2779403355293.198,493198196262.1966,2822032832680.991,2952082367054.774,493198196262.19727,493198196262.19727,1937648207536.4956,1005371261505.1807
IN_A02,mse,3000049616893.9746,942728435657.4148,4789173679383.343,5018843240730.524,3136457618346.1387,3136457618346.1387,5784331495362.707,3251308898229.863
IN_A03,mse,25520772257.377495,9589056134.15263,77036564411.63254,79032607536.44247,25520772257.377495,25520772257.377495,33512864699.40996,31654682270.41597
IN_A04,mse,15772375810.923103,294864538196.29047,16670226455.54943,7941223087.583168,34015397417.196907,11801375622.756542,28616198142.8313,37858917641.256546
IN_A05,mse,23067730.764639,229374548.29297125,71589818.24804318,50861979.6913698,47839626.12834659,47839626.12834659,65862675.08642201,23211132.90925658
IN_A06,mse,5640562984250.173,25516808614047.77,5070094421223.194,4887234222040.77,6045690745647.399,6045690745647.399,5562000355083.185,5659653416325.497
IN_A07,mse,388297137298.4779,43953269084.2401,474198481400.4082,469523927803.0918,391986974388.7493,628921584829.9363,561392408076.5798,379773347360.1497
IN_A09,mse,2957385997.5,2594483574.9228516,4882767504.5625,4576469880.75,7487414319.402433,7487414319.402433,9386604596.165564,5059473509.824732
IN_A10,mse,694041646173.8867,2279836012897.0576,2067389550670.9521,1701297047011.4893,1537692633279.0278,1537692633279.0278,2221974947817.7407,1568594858761.9075
IN_A11,mse,3697035618.417133,147677701861.12445,22748545099.182705,39213664022.99927,3697035618.417133,3697035618.417133,1742876243.8498425,3726534933.315838
IN_A12,mse,224446228588406.56,31610880090444.473,231619327649249.97,249299758039652.12,66388456554444.44,56498164634404.24,311748897899627.2,220141746831356.6
IN_A16,mse,367465775.46305674,2503134683.585128,786365775.9281164,791033328.7681146,533925970.17803156,431342157.7798819,500358005.87811285,343051313.6807205
IN_B01,mse,111286914443.5445,445485967797.39575,26761043007.261047,54874057611.69931,111286914443.5445,53086284861.86367,73260539808.03484,69452246754.47964
IN_B02,mse,38358655515.89911,1278042590518.1401,672436816969.8079,848133519243.3502,991680121495.973,991680121495.973,55945107778.66699,283539196947.43695
IN_B03,mse,193143136913.65366,73660874078.09756,195713980469.7595,198733019258.90305,152116653303.0797,152116653303.0797,37284087072.68086,157971674706.54456
IN_B05,mse,158862277104671.9,27721275496871.305,90173897599544.64,112218907851626.42,77344756022559.83,77344756022559.83,139327677616444.53,135969997586303.75
IN_B06,mse,2193136657.7215233,162158885.6267012,455476779.69058275,347876102.7661828,1186976290.220823,1186976290.220823,712816850.7303419,1047845369.69363
IN_C01,mse,1982348111059.206,2019251147961.9956,1692394032301.695,1637490040781.9004,2019251147961.9941,2257606502658.6123,1700654124258.1782,1914453899639.3154
IN_C02,mse,947597867094.8679,252164369355.25018,604172243035.6123,685745067086.7559,934646118351.6696,1205286793908.143,996870201199.8478,855161828611.0016
IN_C03,mse,157278231695.36786,329611004942.5174,366026283217.1808,269892778955.24817,464954151919.758,464954151919.758,1631956892232.6316,282369606072.8095
IN_C04,mse,3567787.75,33088351.536636353,3708147.25,3203499.75,4660126.321858814,4660126.321858814,1971648.856998127,4119760.813155384
IN_C05,mse,28160185247.986393,10552366172.729973,24002234864.52796,48014226833.06569,19412101523.49639,19412101523.49639,21113503376.151093,21232092464.08435
