unique_id,cutoff,metric,LightGBM,XGBoost,RandomForest,Ridge
IN_M05,2019-10-01,mae,30049.741787676652,22239.4712109375,4978.524647205793,80850354.00901616
IN_N01,2019-10-01,mae,177992.45851624748,152846.8934921875,78595.91314586901,80864847.70817885
IN_N02,2019-10-01,mae,5175841.124864589,6112892.16,8362659.721467671,85031614.14925778
IN_N03,2019-10-01,mae,1267757.622679134,1537462.55125,514549.38198383455,82682238.88930714
IN_N04,2019-10-01,mae,124926.91662988218,234869.765625,217932.4061013202,81081024.38843618
IN_N05,2019-10-01,mae,729860.6542166963,1191612.5137500002,2651484.625217671,84862463.44234625
IN_N06,2019-10-01,mae,9642536.213093003,9533576.23,11449779.16646767,86233805.34091416
IN_N07,2019-10-01,mae,569967.415802436,561677.566875,528469.3492701208,81111329.75375871
IN_P01,2019-10-01,mae,154075.18747819762,191945.96521875,137785.56135424375,81040236.90863906
IN_P02,2019-10-01,mae,4929.0037848324055,168160.05444335938,18467.857060755246,80839414.16840819
IN_P03,2019-10-01,mae,41777.54913032221,85148.08984375,209084.9086488498,80652859.49119884
IN_R01,2019-10-01,mae,986900.762901216,1079562.324875,1219782.9455748207,80475838.62983784
IN_R02,2019-10-01,mae,1377586.0187257507,1355546.4705,1477630.639011438,81823189.35135283
IN_R03,2019-10-01,mae,1636233.233028827,2301097.79,973504.2957470554,81679624.11446255
IN_R05,2019-10-01,mae,1912999.8755443364,1769499.344875,2413728.921417164,79760725.69399007
IN_R06,2019-10-01,mae,3456666.038845574,1061399.479875,4888249.073568635,80681302.21452302
IN_R07,2019-10-01,mae,133979.63335700487,151207.794921875,13224.006620014927,80860118.90787223
IN_S01,2019-10-01,mae,592447.6604198236,841178.7451249999,814144.1114646184,80790220.68856154
IN_S02,2019-10-01,mae,604579.153297154,598937.54171875,570686.9637590362,81067549.99532807
IN_S03,2019-10-01,mae,631150.3914410853,587346.3860078125,567050.1172348061,81085159.47076975
IN_V03,2019-10-01,mae,485163.5891604878,517108.670875,539185.2590624215,80829305.86583129
IN_V04,2019-10-01,mae,283722.05363785435,327117.067453125,280079.39568103687,81232346.68800938
IN_V07,2019-10-01,mae,95891.06346791692,88572.01934375,147277.03495291882,80869756.29256922
IN_A01,2020-10-01,mae,961851.6411036922,939429.8641250001,844311.1467590034,677195.2065709529
IN_A02,2020-10-01,mae,1745836.3255400895,2075096.829375,1985545.9908240545,1973015.3702772816
IN_A03,2020-10-01,mae,501447.3351978814,490792.77187500003,357341.9343099108,327067.4160452378
IN_A04,2020-10-01,mae,525396.4456236728,129605.01837499996,576337.5199425989,419504.9951011151
IN_A05,2020-10-01,mae,22548.748832257887,8299.13209765625,4145.611152622642,33863.562746528754
IN_A06,2020-10-01,mae,1505797.3161370084,1576233.225,3211441.103359853,1935402.7155163507
IN_A07,2020-10-01,mae,430349.96825404326,312125.246375,368735.29400219396,392413.76417622005
IN_A09,2020-10-01,mae,142847.77839246308,161930.7265625,140420.43164390067,95182.82649436245
IN_A10,2020-10-01,mae,2265316.6506024785,1130267.9100000001,2444172.510377312,1690746.6343933898
IN_A11,2020-10-01,mae,60711.170072684814,39731.04640625001,40260.26050768868,58406.690782138874
IN_A12,2020-10-01,mae,7429340.486844303,5372795.03825,3298074.4174712123,3837319.115687237
IN_A16,2020-10-01,mae,111808.7168890021,118454.57271874999,102959.54298300741,19650.18935752639
IN_B01,2020-10-01,mae,393920.8425149439,521784.11999999994,495371.9377038827,576205.6167577192
IN_B02,2020-10-01,mae,901993.7495440898,811806.767,769041.1060974307,710658.795976212
IN_B03,2020-10-01,mae,173977.56035123707,127746.99550000002,149567.21628750715,257793.69409028263
IN_B05,2020-10-01,mae,9389426.777555829,10572832.7875,7356647.241169374,9623710.75718735
IN_B06,2020-10-01,mae,27768.813424042957,35155.672382812496,42354.88890026276,79542.22508848221
IN_C01,2020-10-01,mae,924378.0646856023,868356.3457500001,785968.974714352,688279.8225829366
IN_C02,2020-10-01,mae,369756.48631593504,346877.45849999995,376026.98268232937,282190.4840400545
IN_C03,2020-10-01,mae,391368.7778748247,865793.2941250001,869556.3903763175,595542.0081447341
IN_C04,2020-10-01,mae,16023.28189041086,43452.2841796875,15937.055853378792,21600.84552636513
IN_C05,2020-10-01,mae,138275.28852963043,165828.7728125,194119.82402525615,311711.6016341984
IN_C07,2020-10-01,mae,1227744.534287698,1265318.7672500003,1069527.8558702606,1120525.202392266
IN_C08,2020-10-01,mae,417889.83742977376,681424.0191250001,665287.0616146999,553732.8281750031
IN_C09,2020-10-01,mae,971707.0689978987,789197.77475,988526.130336178,1185426.0027279658
IN_C10,2020-10-01,mae,1566455.453073707,1514513.14775,1282331.6746021532,1398515.0734056549
