unique_id,ds,best_forecast,best_forecast-lo-95,best_forecast-hi-95,best_model
IN_A02,2025-07-01,6789285.875,3795715.732760187,9782856.017239813,HoltWinters
IN_A02,2025-07-01,6789285.875,3795715.732760187,9782856.017239813,HistoricAverage
IN_A02,2025-07-01,7359497.375,4557016.366129141,10161978.383870859,Naive
IN_A02,2025-07-01,7359497.375,4557016.366129141,10161978.383870859,Naive
IN_A02,2025-07-01,7359497.375,4557016.366129141,10161978.383870859,SeasonalNaive
IN_A02,2025-07-01,7359497.375,4557016.366129141,10161978.383870859,HoltWinters
IN_A02,2025-07-01,7359497.375,4557016.366129141,10161978.383870859,HistoricAverage
IN_A02,2025-07-01,7238112.3154946,4657537.3158409875,9818687.315148212,Naive
IN_A02,2025-07-01,7238112.3154946,4657537.3158409875,9818687.315148212,Naive
IN_A02,2025-07-01,7238112.3154946,4657537.3158409875,9818687.315148212,SeasonalNaive
IN_A02,2025-07-01,7238112.3154946,4657537.3158409875,9818687.315148212,HoltWinters
IN_A02,2025-07-01,7238112.3154946,4657537.3158409875,9818687.315148212,HistoricAverage
IN_A02,2025-07-01,6846819.591555555,3326968.411529652,10366670.77158146,Naive
IN_A02,2025-07-01,6846819.591555555,3326968.411529652,10366670.77158146,Naive
IN_A02,2025-07-01,6846819.591555555,3326968.411529652,10366670.77158146,SeasonalNaive
IN_A02,2025-07-01,6846819.591555555,3326968.411529652,10366670.77158146,HoltWinters
IN_A02,2025-07-01,6846819.591555555,3326968.411529652,10366670.77158146,HistoricAverage
IN_A02,2025-10-01,6789285.875,3332608.8200796344,10245962.929920366,Naive
IN_A02,2025-10-01,6789285.875,3332608.8200796344,10245962.929920366,Naive
IN_A02,2025-10-01,6789285.875,3332608.8200796344,10245962.929920366,SeasonalNaive
IN_A02,2025-10-01,6789285.875,3332608.8200796344,10245962.929920366,HoltWinters
IN_A02,2025-10-01,6789285.875,3332608.8200796344,10245962.929920366,HistoricAverage
IN_A02,2025-10-01,6789285.875,3332608.8200796344,10245962.929920366,Naive
IN_A02,2025-10-01,6789285.875,3332608.8200796344,10245962.929920366,Naive
IN_A02,2025-10-01,6789285.875,3332608.8200796344,10245962.929920366,SeasonalNaive
IN_A02,2025-10-01,6789285.875,3332608.8200796344,10245962.929920366,HoltWinters
IN_A02,2025-10-01,6789285.875,3332608.8200796344,10245962.929920366,HistoricAverage
IN_A02,2025-10-01,6789285.875,3986804.866129141,9591766.883870859,Naive
IN_A02,2025-10-01,6789285.875,3986804.866129141,9591766.883870859,Naive
IN_A02,2025-10-01,6789285.875,3986804.866129141,9591766.883870859,SeasonalNaive
IN_A02,2025-10-01,6789285.875,3986804.866129141,9591766.883870859,HoltWinters
IN_A02,2025-10-01,6789285.875,3986804.866129141,9591766.883870859,HistoricAverage
IN_A02,2025-10-01,7114918.932223851,4218902.812077632,10010935.05237007,Naive
IN_A02,2025-10-01,7114918.932223851,4218902.812077632,10010935.05237007,Naive
IN_A02,2025-10-01,7114918.932223851,4218902.812077632,10010935.05237007,SeasonalNaive
IN_A02,2025-10-01,7114918.932223851,4218902.812077632,10010935.05237007,HoltWinters
IN_A02,2025-10-01,7114918.932223851,4218902.812077632,10010935.05237007,HistoricAverage
IN_A02,2025-10-01,6846819.591555555,3326968.411529652,10366670.77158146,Naive
IN_A02,2025-10-01,6846819.591555555,3326968.411529652,10366670.77158146,Naive
