unique_id,ds,y,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_D06,2024-01-01,6444,15588.0,15656.406,20541.25,26055.0,20310.814,20310.814,20165.04,20367.264
IN_D06,2024-04-01,5345,15588.0,15656.406,20541.25,19462.0,20310.814,20310.814,20517.686,20367.264
IN_D06,2024-07-01,2708,15588.0,15656.406,20541.25,21060.0,20310.814,20310.814,20898.578,20367.264
IN_D06,2024-10-01,5713,15588.0,15656.406,20541.25,15588.0,20310.814,20310.814,23034.803,20367.264
IN_D07,2024-01-01,68374,76902.0,55473.625,80870.75,73459.0,76902.0,76902.0,70423.16,77285.54
IN_D07,2024-04-01,104616,76902.0,55473.625,80870.75,101426.0,76902.0,76902.0,74403.85,77285.54
IN_D07,2024-07-01,53096,76902.0,55473.625,80870.75,71696.0,76902.0,76902.0,71706.43,77285.54
IN_D07,2024-10-01,79790,76902.0,55473.625,80870.75,76902.0,76902.0,76902.0,74773.45,77285.54
IN_D08,2024-01-01,55,7071.0,904.125,1847.75,84.0,904.125,680.88245,1615.0402,1454.5736
IN_D08,2024-04-01,6622,7071.0,904.125,1847.75,166.0,904.125,748.17584,1218.1516,1454.5736
IN_D08,2024-07-01,55,7071.0,904.125,1847.75,70.0,904.125,716.6227,1656.2072,1454.5736
IN_D08,2024-10-01,85,7071.0,904.125,1847.75,7071.0,904.125,2331.9216,2723.2427,1454.5736
IN_D10,2024-01-01,26091,44355.0,25793.094,45405.25,49253.0,44355.0,44355.0,44641.8,44340.344
IN_D10,2024-04-01,18161,44355.0,25793.094,45405.25,45147.0,44355.0,44355.0,47894.35,44340.344
IN_D10,2024-07-01,21518,44355.0,25793.094,45405.25,42866.0,44355.0,44355.0,47697.918,44340.344
IN_D10,2024-10-01,20193,44355.0,25793.094,45405.25,44355.0,44355.0,44355.0,47629.05,44340.344
IN_D11,2024-01-01,20384,10186.0,8604.844,12582.75,16948.0,10186.0,4404.4517,12095.531,10267.992
IN_D11,2024-04-01,16323,10186.0,8604.844,12582.75,11971.0,10186.0,7137.098,13270.497,10267.992
IN_D11,2024-07-01,12628,10186.0,8604.844,12582.75,11226.0,10186.0,7546.144,13032.96,10267.992
IN_D11,2024-10-01,12597,10186.0,8604.844,12582.75,10186.0,10186.0,8117.161,12326.409,10267.992
IN_G01,2024-01-01,6671,17627.0,19580.531,20418.25,15024.0,19580.531,19580.531,20570.06,20059.371
IN_G01,2024-04-01,3528,17627.0,19580.531,20418.25,18246.0,19580.531,19580.531,19765.117,20059.371
IN_G01,2024-07-01,5033,17627.0,19580.531,20418.25,30776.0,19580.531,19580.531,24377.047,20059.371
IN_G01,2024-10-01,5617,17627.0,19580.531,20418.25,17627.0,19580.531,19580.531,20802.902,20059.371
IN_G02,2024-01-01,26839,10469.0,15236.094,10537.0,9836.0,15236.094,17836.62,13891.909,14909.293
IN_G02,2024-04-01,4162,10469.0,15236.094,10537.0,9839.0,15236.094,17835.545,8384.107,10035.834
IN_G02,2024-07-01,12418,10469.0,15236.094,10537.0,12004.0,15236.094,17059.715,11673.122,13460.134
IN_G02,2024-10-01,7990,10469.0,15236.094,10537.0,10469.0,15236.094,17609.783,14542.365,14485.816
IN_G03,2024-01-01,79942,85176.0,73275.31,93788.25,102651.0,91897.984,92677.086,90911.36,86938.53
IN_G03,2024-04-01,81309,85176.0,73275.31,93788.25,98780.0,90808.95,88485.0,98093.53,95390.21
IN_G03,2024-07-01,74934,85176.0,73275.31,93788.25,88546.0,86331.15,83161.75,96782.96,93957.414
IN_G03,2024-10-01,68810,85176.0,73275.31,93788.25,85176.0,87208.54,81408.83,93143.65,89949.12
IN_G04,2024-01-01,31974,29738.0,29401.188,32036.0,32733.0,30689.275,30689.275,33417.54,29763.023
IN_G04,2024-04-01,31167,29738.0,29401.188,32036.0,33446.0,30325.705,30325.705,34253.48,29763.023
IN_G04,2024-07-01,31788,29738.0,29401.188,32036.0,32227.0,30464.66,30464.66,34117.06,29763.023
IN_G04,2024-10-01,28097,29738.0,29401.188,32036.0,29738.0,30411.553,30411.553,34392.617,29763.023
IN_H01,2024-01-01,3556,3436.0,3759.5938,3730.75,3884.0,3385.5173,3385.5173,3470.081,3438.3857
IN_H01,2024-04-01,3568,3436.0,3759.5938,3730.75,3931.0,3407.1396,3407.1396,3522.5862,3438.3857
IN_H01,2024-07-01,3590,3436.0,3759.5938,3730.75,3672.0,3481.2776,3481.2776,3471.3333,3438.3857
IN_H01,2024-10-01,3201,3436.0,3759.5938,3730.75,3436.0,3583.0503,3583.0503,3400.5442,3438.3857
IN_H02,2024-01-01,65685,8608.0,26562.094,18487.5,19107.0,20541.172,30041.455,21670.26,24721.406
IN_H02,2024-04-01,50874,8608.0,26562.094,18487.5,18985.0,24535.953,30894.963,22878.764,24721.406
IN_H02,2024-07-01,46151,8608.0,26562.094,18487.5,27250.0,25873.26,16402.094,28156.576,24721.406
IN_H02,2024-10-01,42724,8608.0,26562.094,18487.5,8608.0,26320.94,36110.137,19496.318,24721.406
IN_H03,2024-01-01,57467,59376.0,60228.72,64994.0,68474.0,59376.0,59376.0,59519.965,59477.27
IN_H03,2024-04-01,55943,59376.0,60228.72,64994.0,68614.0,59376.0,59376.0,61473.28,59530.215
IN_H03,2024-07-01,54385,59376.0,60228.72,64994.0,63512.0,59376.0,59376.0,60529.2,59578.105
IN_H03,2024-10-01,47284,59376.0,60228.72,64994.0,59376.0,59376.0,59376.0,59407.242,59621.562
IN_H04,2024-01-01,1760,1562.0,1192.8438,1622.5,1562.0,1800.9894,1748.6459,1683.1052,1688.8636
IN_H04,2024-04-01,1646,1562.0,1192.8438,1622.5,1536.0,1665.2062,1720.0602,1685.6279,1638.2716
IN_H04,2024-07-01,1811,1562.0,1192.8438,1622.5,1830.0,1806.4594,2051.066,1920.6211,1961.701
IN_H04,2024-10-01,1444,1562.0,1192.8438,1622.5,1562.0,1742.924,1763.5925,1707.6285,1625.3049
IN_H05,2024-01-01,1201,1209.0,5238.0,1374.25,1546.0,2768.215,2656.0688,24.557459,1247.5189
IN_H05,2024-04-01,1197,1209.0,5238.0,1374.25,1377.0,3556.0134,3543.5613,1817.2988,1247.5189
IN_H05,2024-07-01,1374,1209.0,5238.0,1374.25,1365.0,5068.6646,4087.8635,1003.47186,1247.5189
IN_H05,2024-10-01,1141,1209.0,5238.0,1374.25,1209.0,4602.4043,4421.686,841.9573,1247.5189
IN_J01,2024-01-01,320350,281536.0,239839.25,300229.0,361747.0,281536.0,281536.0,307305.7,284661.06
IN_J01,2024-04-01,273217,281536.0,239839.25,300229.0,295302.0,281536.0,281536.0,270531.28,284661.06
IN_J01,2024-07-01,260502,281536.0,239839.25,300229.0,262331.0,281536.0,281536.0,268153.3,284661.06
IN_J01,2024-10-01,285067,281536.0,239839.25,300229.0,281536.0,281536.0,281536.0,301225.47,284661.06
IN_J02,2024-01-01,11079,18469.0,12698.1875,25608.5,33033.0,22688.041,26957.918,29688.729,22594.836
IN_J02,2024-04-01,22570,18469.0,12698.1875,25608.5,29199.0,24181.6,26612.35,29188.7,22594.836
IN_J02,2024-07-01,20855,18469.0,12698.1875,25608.5,21733.0,25044.115,25431.994,22549.477,22594.836
IN_J02,2024-10-01,21242,18469.0,12698.1875,25608.5,18469.0,25760.521,25217.436,26577.025,22594.836
IN_J04,2024-01-01,471,550.0,403.375,517.5,472.0,475.02844,475.02844,541.1272,538.15234
IN_J04,2024-04-01,503,550.0,403.375,517.5,544.0,405.10934,405.10934,522.15173,538.15234
IN_J04,2024-07-01,506,550.0,403.375,517.5,504.0,405.10934,405.10934,529.6458,538.15234
IN_J04,2024-10-01,349,550.0,403.375,517.5,550.0,405.10934,405.10934,542.1971,538.15234
IN_J05,2024-01-01,42949,34110.0,27344.281,30895.75,32609.0,27344.281,29717.48,46624.98,52150.984
IN_J05,2024-04-01,23471,34110.0,27344.281,30895.75,28969.0,27344.281,27888.062,30604.533,28332.996
IN_J05,2024-07-01,24189,34110.0,27344.281,30895.75,27895.0,27344.281,27348.283,29610.346,26587.805
IN_J05,2024-10-01,19135,34110.0,27344.281,30895.75,34110.0,27344.281,30471.863,35766.727,33942.133
IN_J06,2024-01-01,2568,2643.0,2036.2188,2763.75,4064.0,2296.5613,3219.8232,3503.1235,3376.1404
IN_J06,2024-04-01,1308,2643.0,2036.2188,2763.75,2340.0,2056.9136,1934.8549,2102.3381,1661.1901
IN_J06,2024-07-01,1438,2643.0,2036.2188,2763.75,2008.0,2056.9136,1857.9402,2022.1888,1560.7987
IN_J06,2024-10-01,754,2643.0,2036.2188,2763.75,2643.0,2056.9136,2760.2524,2925.5095,2650.7036
IN_L01,2024-01-01,22620,18629.0,18811.562,23160.5,23334.0,26779.768,26779.768,25336.783,20830.764
IN_L01,2024-04-01,24571,18629.0,18811.562,23160.5,26552.0,27295.182,27295.182,28246.072,20830.764
IN_L01,2024-07-01,18158,18629.0,18811.562,23160.5,24127.0,27810.594,27810.594,28452.654,20830.764
IN_L01,2024-10-01,16769,18629.0,18811.562,23160.5,18629.0,28326.006,28326.006,27266.688,20830.764
IN_L02,2024-01-01,11584,6223.0,14701.875,9867.0,8517.0,10960.987,10960.987,11810.75,10338.534
IN_L02,2024-04-01,7684,6223.0,14701.875,9867.0,11820.0,11447.912,11447.912,8343.198,10338.534
IN_L02,2024-07-01,11165,6223.0,14701.875,9867.0,12908.0,11846.015,11846.015,10222.958,10338.534
IN_L02,2024-10-01,4394,6223.0,14701.875,9867.0,6223.0,12171.499,12171.499,11014.5,10338.534
IN_L03,2024-01-01,1003,1048.0,1429.2812,1250.5,1458.0,1048.0,1048.0,1255.9407,1049.1671
IN_L03,2024-04-01,1081,1048.0,1429.2812,1250.5,1333.0,1048.0,1048.0,1370.9747,1049.1671
IN_L03,2024-07-01,828,1048.0,1429.2812,1250.5,1163.0,1048.0,1048.0,1304.2546,1049.1671
IN_L03,2024-10-01,583,1048.0,1429.2812,1250.5,1048.0,1048.0,1048.0,1325.232,1049.1671
IN_L04,2024-01-01,22115,22985.0,16610.5,24337.5,25711.0,23437.484,23437.484,24383.068,23247.885
IN_L04,2024-04-01,21073,22985.0,16610.5,24337.5,24025.0,23889.967,23889.967,25122.432,23484.92
IN_L04,2024-07-01,23146,22985.0,16610.5,24337.5,24629.0,24342.451,24342.451,24984.898,23717.62
IN_L04,2024-10-01,19976,22985.0,16610.5,24337.5,22985.0,24794.936,24794.936,25273.68,23946.102
IN_M01,2024-01-01,57564,64547.0,58291.22,67681.0,66627.0,58300.277,58300.277,60852.043,64876.65
IN_M01,2024-04-01,70571,64547.0,58291.22,67681.0,74087.0,54897.625,54897.625,62771.93,64876.65
IN_M01,2024-07-01,76667,64547.0,58291.22,67681.0,65463.0,53987.527,53987.527,64872.242,64876.65
IN_M01,2024-10-01,51422,64547.0,58291.22,67681.0,64547.0,54681.73,54681.73,56773.36,64876.65
IN_M02,2024-01-01,7467,59057.0,31643.719,54029.75,57526.0,52769.754,52769.754,58763.914,54019.797
IN_M02,2024-04-01,3737,59057.0,31643.719,54029.75,54813.0,52769.754,52769.754,63279.652,54019.797
IN_M02,2024-07-01,3284,59057.0,31643.719,54029.75,44723.0,52769.754,52769.754,51978.64,54019.797
IN_M02,2024-10-01,3708,59057.0,31643.719,54029.75,59057.0,52769.754,52769.754,56778.17,54019.797
IN_M03,2024-01-01,93482,93980.0,81786.06,99136.0,102307.0,99018.24,99018.24,98060.02,94016.94
IN_M03,2024-04-01,92097,93980.0,81786.06,99136.0,102633.0,100108.63,100108.63,102849.02,94016.94
IN_M03,2024-07-01,90291,93980.0,81786.06,99136.0,97624.0,101199.02,101199.02,102191.04,94016.94
IN_M03,2024-10-01,78557,93980.0,81786.06,99136.0,93980.0,102289.42,102289.42,100987.63,94016.94
IN_M04,2024-01-01,6720,6949.0,7130.0625,7480.75,7796.0,7246.694,7246.694,7109.015,6953.293
IN_M04,2024-04-01,6552,6949.0,7130.0625,7480.75,7804.0,7246.694,7246.694,7559.0654,6953.293
IN_M04,2024-07-01,6479,6949.0,7130.0625,7480.75,7374.0,7246.694,7246.694,7329.838,6953.293
IN_M04,2024-10-01,5623,6949.0,7130.0625,7480.75,6949.0,7246.694,7246.694,7258.2095,6953.293
IN_M05,2024-01-01,4217,4429.0,4161.9062,4992.0,5188.0,4429.0,4429.0,4474.2495,4435.3525
IN_M05,2024-04-01,4275,4429.0,4161.9062,4992.0,5289.0,4429.0,4429.0,4728.8022,4435.3525
IN_M05,2024-07-01,4109,4429.0,4161.9062,4992.0,5062.0,4429.0,4429.0,4725.268,4435.3525
IN_M05,2024-10-01,3186,4429.0,4161.9062,4992.0,4429.0,4429.0,4429.0,4663.5127,4435.3525
IN_M09,2024-01-01,232,194.0,108.76923,198.25,187.0,201.20006,201.20006,203.68596,200.00168
IN_M09,2024-04-01,256,194.0,108.76923,198.25,186.0,208.4001,208.4001,196.4353,204.09392
IN_M09,2024-07-01,248,194.0,108.76923,198.25,226.0,215.60016,215.60016,197.93202,208.11072
IN_M09,2024-10-01,195,194.0,108.76923,198.25,194.0,222.8002,222.8002,218.89867,212.05316
IN_N01,2024-01-01,2319,2672.0,4593.6562,3539.25,5355.0,2672.0,2672.0,2269.266,2677.1084
IN_N01,2024-04-01,2963,2672.0,4593.6562,3539.25,2945.0,2672.0,2672.0,2791.422,2677.1084
IN_N01,2024-07-01,3906,2672.0,4593.6562,3539.25,3185.0,2672.0,2672.0,1888.6797,2677.1084
