NDC,ATC4 Class
51862090101,N05AH
31722094201,N02AJ
50742065928,G03AA
68516521401,B05AA
00093936401,A10BB
00536113920,R02AD
50383004248,D07XA
23155022901,D06BB
63323003204,B05XA
46122029278,B01AC
63323010701,A06AD
00517970225,N05AD
13925016420,A07EA
16714076901,A07AA
68382052960,C10AC
65862019401,N06AB
00173071720,D07AC
68462048619,G01AA
00185070701,C07BB
51224012250,S01AA
50228018501,C02DB
00517231005,B03AB
72611076510,J01XA
64980030310,C03BA
00338012504,B05BB
24689079302,V03AE
68001024300,N03AX
42543005261,D01AA
61703032618,M05BA
43547028211,N06AB
00004009801,N03AE
67457056700,D11AX
27808008201,N02AA
16714049601,A01AB
51672136606,G01AA
64980051110,G01AA
72572001601,S01AA
60758088010,S01BA
00024591401,D11AH
63323081502,D06AX
70000031202,N02BE
69238110205,R02AX
00115155510,C10AB
50102012801,B03AE
00378877035,G03CA
67877026490,N06AX
49281040020,J07AJ
68382059705,C08DB
68382000305,L04AX
60432056061,A01AC
62332020730,C09CA
64125013601,N04AC
50742052005,L01AA
47781026505,N02AA
00904145361,A07BB
51672126303,A01AC
00006537303,A10BD
00713072931,D07AC
70069023201,S01EA
59572040528,L04AX
49348052172,S02BA
13107001905,N02AJ
00536117420,J01XX
66993004430,N06BA
72572045001,A06AH
00456141030,C07AB
72578009306,C05AA
00054817425,R01AD
50268040215,R05DA
68462067291,L02AA
63323054036,C05BA
00409174910,C01CA
00338004804,B05XA
00054817625,S03BA
00187514045,L01XF
00169517603,G03CA
76282015210,M01AC
00115143613,M03BX
00832532510,A12BA
00013262681,H01AC
49348060072,J01XB
00003452211,L01FX
63323028204,G01AA
46122038976,D07AC
00555901058,G03DC
69097092735,A04AA
68462057517,S01BA
00409729501,B05BB
00409127303,N05BA
50742065928,G03AC
24385006710,R01AA
62559049001,A07DA
65162080414,L01AX
49348011537,D08AC
45802006435,D02AA
68462073329,G03CA
68180018203,J01DB
00121084940,R06AX
69097017348,R03AC
42571014401,M01AH
65162018911,M01AE
00009332901,J01FF
46122029934,R05CA
63459091012,L03AA
00069122402,J06BA
54879000460,A07EA
43386043101,N02AA
50102030011,G03AC
63646030015,S01AD
00456201001,N06AB
68462019930,C09CA
59011046010,N02AA
25021013610,S01AA
00186037020,R03AC
00472200294,R02AX
50383080416,R06AD
72000012006,J01XX
00169183702,A10AB
68462051339,S01BA
68180082773,G03CA
60687044611,M02AA
66993006785,A02BC
00002880359,A10AD
62559043001,S01CB
57237021330,R03DC
00904676520,R06AE
00168003346,S02BA
72578009102,D07XC
00115168974,R03BA
00093936410,A10BB
63304061650,A01AB
63868037004,R05FA
29300025601,S01BC
42571017601,M02AA
00781552831,N06AX
51862001201,G03DC
50222022704,S01BA
68462039690,J01FA
00884044904,B05BC
57237015801,A10BX
67457034001,J01XA
45802088094,A01AC
00781705449,J01FA
00093681619,D07AC
00338102541,J01CE
68180049301,N06AA
00069814020,L01ED
68094049458,C01EB
52544069119,C08DB
13107019630,C09CA
16714095602,D10AX
16714041601,B03AE
00378450093,A07EA
65862093090,V03AE
00781708035,A01AB
13925016604,D07XA
43386091710,B05XA
60505438206,A01AB
75834012929,G03CA
47781029603,C05AE
00904579061,D06BB
45802004935,R03BA
68682037190,C08DB
16714001401,J01CA
59746021801,C03DA
17478044708,B02AA
47335006186,C01BD
00168033260,R03BA
63323049237,D04AB
13668044205,L01XX
00990782808,A12BA
49884025311,N06CA
62756043283,N03AB
00904530909,G02CC
70000000901,A01AB
63323011801,S01XA
00409651001,A07AA
63323096730,B05XA
00409955831,M03AC
50268053315,N05CH
00093520005,N05BE
24658070632,S01AA
00054418225,A01AC
00904386575,A12CA
00781615746,J01CA
50228013690,R06AE
00078084101,S01AE
51285012870,B03AE
51862029043,D07XB
00409427902,N01BB
00093943301,A10BB
00169770421,H01AC
61958060201,J05AF
68180077509,C03AA
66993004230,N06BA
00555901658,L02AA
68462040960,C01BC
51862051403,B03AE
63323030478,J01CR
00904712661,D06BX
62332054505,S01ED
00121058115,N05AD
00527495232,H03AA
64125013710,N04AC
43547033906,N05AX
00409318201,A01AD
00713063015,J05AB
13811001290,G01AD
62332014131,M01AH
76329906000,B02BC
68180089273,G03AA
67877052730,G04BD
65862007050,J01CA
23155076701,P01AB
13668011730,C09CA
49884012791,L04AH
62332060660,R03BA
68180055709,C09AA
24208029510,D07AB
00093320414,P03AX
00093500356,C09CA
60687016801,N05AX
68180072305,J01DD
64679092302,C09AA
00121097810,R06AA
00093645156,A02BC
23155005901,C08DA
61442022305,J01MA
52544029528,G03CA
68462013279,G03CA
66993089815,S01CB
72205000792,L01BC
60687027121,J01FA
00536110688,N07BA
51672126003,D01AC
50458057910,B01AF
51862029201,G03AB
00409913705,N01BB
00054418125,D07XB
62135030920,S03AA
60923036302,M09AX
45802014464,C05AD
00527139601,N05AH
49348000123,N02BA
68180083873,L02AA
68094049462,M01AE
60687040583,R03CC
69097091707,N06AX
51991018142,B03AA
66993047302,C08CA
51672422708,N05BA
75987007009,A16AX
55513016001,L01FX
68180089313,G03CA
24385055010,C01EB
00378700293,N06AB
57237023201,J01EE
64380071104,J05AF
49348078810,N07BA
70000001101,S01XA
24208083060,D07AB
00093324101,C03AA
00904676130,R01AA
70069002125,H02AB
17433987703,A06AA
68382009301,C07AG
63323030351,J01GB
00406052323,N02AA
69097085207,M01AE
65862084230,J05AF
52565000950,C05AD
00713010950,A06AB
00003377412,L01FF
47335095681,G04CA
55111068401,G02CC
00378251278,L01BC
68180089273,G03AC
59762006801,N05BA
69117000801,S02AA
49483060250,C01EB
00597029588,A10BD
17478079201,N01BB
00378912198,N01AH
00713075937,D07XC
50111039801,C02DB
10370083009,C05AE
51672136002,S01AD
00904677861,C10AA
43547040810,N03AE
00713065540,D07AB
67457037499,B01AB
50111078855,S01AA
67457056700,V04CC
69367024324,D07AA
47335017795,L04AC
62559013807,A01AC
00065065205,H02AB
49483060350,G02CC
60505008000,C07AA
00228255196,D11AX
67457035959,N05AB
63739096940,N07AA
68462079917,S01BA
00338112304,B05CB
63323013002,J01AA
70860070002,M01AB
00178033003,D02AB
51991089633,J05AF
55150023930,R01AD
67877022401,N02BF
62756016013,G04CA
00904680161,N05AH
51672128402,S01BA
68462067295,G03AA
65162091174,S01BC
00527140701,S01EB
68084065801,C01EB
73070010215,A10AB
45802044102,R03BA
59762002801,M02AA
29300022010,R03DC
00113039640,G04BX
57664085288,J01AA
62756026002,N03AX
60505324703,S01AD
51991083716,R06AE
46122039678,A06AB
69097084064,R03CC
45802043732,D07AD
00409733821,J01DD
27241000550,N05AX
64208823503,B06AA
00338066904,B05CX
53746051501,C03DA
00054317644,H02AB
00409114102,B05CB
78206012601,D07AC
45802005635,D06AX
68462047401,A05AA
00904674740,C01EB
10019093825,L01AA
00703440211,L01CA
65862057490,R03DC
00591350804,S01EA
58657067650,S01AE
50111033401,A01AB
51672130308,D01AC
68180077306,C03AA
65862022660,A02BC
00093360982,D07AC
00168004015,D07XC
42571023530,C09CA
00009337501,J01FF
51285009287,L02AA
25021040010,S01XA
67877025010,N05AH
16571060096,D11AH
68462029965,S01BA
00642007030,C10AD
33342005007,C09DA
00121050416,N02AJ
69097031853,D07AC
60687035711,H03BB
00113082529,A07AC
51672403701,C09AA
00168002109,R02AB
00536102107,J01AA
67877031815,D07XB
00472032126,S01CB
00046257512,G03AC
66993037025,G03DA
59762007301,S01BA
00591241101,A10BA
00054455015,L01BA
00485008001,R01AA
00409648211,J01FA
63323036920,J01CG
13925016520,C01BB
50742025130,C08DB
55292041005,A16AA
00781342271,R01AA
00378163193,R03AC
50102022023,G03AA
53489011902,A01AB
44567051001,L01XA
00093100601,M02AA
58657031216,A09AB
00121089050,S01AA
00527518070,J01EC
63323028001,C03CA
68462067295,G03AC
63323048927,C05AD
68180069706,N02AX
25021031501,C05AX
68682049590,C10AB
68180077106,C09CA
58657045401,G04BX
10542007010,B03BB
00013111420,B02AA
70000012602,R01AB
00378015210,N02CX
00023545910,A06AG
62756057083,V03AC
43547041410,C09AA
51672421108,P02CF
52565008702,S02BA
25021023320,L01XA
29300035916,C01BD
70700015285,G03CA
61269016250,A11AA
68180052001,C09BA
00299590645,D10AD
60258010101,A11GA
23155011901,D05AX
63323028426,J01XA
68001039908,N06AB
63323046437,N01BB
52565002015,C05AA
23155001801,A01AB
70000049301,D01AC
63323018603,B05XA
60687049111,M01AE
00002614527,H04AA
00378180904,H03AA
13533080040,J06BA
24208053210,D02BB
62332015030,C09CA
13668031060,M01AH
72205000299,C10AA
59762100301,L04AH
51991081705,C07AA
00143933825,M03AB
00703680104,L02AB
50268041124,A01AC
46122037130,R06AA
00832121600,B01AA
00781340895,S01AA
42806036201,J01AA
67877073101,N05BA
00078034342,G03CA
00409733701,J01DD
42858050103,N07BC
00338051141,S02AA
00009004401,S01CB
59088081624,A07EA
00642007030,S01XA
66993006885,A02BC
00069403701,L01DB
00228212710,S01EA
00781165510,J01CE
00023586228,B03AE
76282041990,C09AA
57237008863,N02CC
00121477405,R02AX
47335061481,C04AC
00002143401,A10BJ
50102022023,G03AC
51672127903,D07AC
24208063110,J01GB
57237005160,N06DA
70121116901,H02AB
00832105515,M03BX
69097085407,M02AA
00641604225,M01AB
00472037015,S01BA
53489012005,A01AB
51672139409,L01XF
00093716605,L01XX
70000005801,R02AB
68180024108,S01AE
51862089603,B03AA
23155022705,D06BB
00168008915,A07AA
68001028100,M01AB
27241018430,N03AX
70000013101,R05FA
24208053210,G01AD
45802011101,M01AB
43386016106,G02AD
59746038410,G04CA
43386009662,D07AD
57894007001,L04AB
68180039701,M01AH
59651036105,C01EB
00338113703,N06AX
00069005902,B01AB
49348087277,G01AF
00074709430,N02CD
67457042130,S01BA
24201010024,N02BE
50742017601,C01DA
68968017303,N05AH
23155011110,C07AA
70121100005,H02AB
63323006401,B05XA
52817081701,S01CB
63090034030,N05AX
31722072630,R03DC
13925016604,A01AC
67457048040,L04AX
13668053402,A07AA
69097053535,R01AB
17478089210,S01BC
00065179540,A12AA
70000023203,J01CA
00024540131,N05CF
65862094087,B03AE
61314064710,J01GB
13107005999,N02BE
00517090125,C02DB
69315030715,D01AA
59651026830,A10BB
00228289150,N06AX
55111025505,C07AG
43598044874,N07BA
57237015035,D01AC
63323036059,B05XA
65862093487,B03AE
63323049157,R02AD
62332020530,C09CA
61314054703,S01EE
00990795303,G04BA
62559039150,S01AA
70860070102,M01AB
00713066860,D07AA
55111019990,C10AA
50383090110,S02CA
55111012701,J01MA
68084050201,C10AA
33342004444,C09CA
00168005960,S01BA
16729001116,C10AA
00713063515,R03BA
00536124710,A06AB
70000045901,A02AC
67457042300,S02BA
00781178960,M02AA
00187516420,L01XF
70010013701,M01AE
00904693806,N02BE
51079016120,N02BE
63304062410,C03CA
00172208360,C03AA
00121059500,B05CB
59572041028,L04AX
00591322001,N02AJ
69680012035,R02AD
68382011006,N04BC
