cutoff,unique_id,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta,metric
2020-10-01,IN_A12,4.4913708e+07,1.486668e+07,5.6156464e+07,5.56082e+07,4.4913708e+07,7.50835e+07,8.600885e+07,5.069676e+07,MSE
2020-10-01,IN_A16,11152.75,34338.594,21653.688,13314.5,33849.93,18156.232,14754.234,27590.523,MSE
2020-10-01,IN_B01,2.1350645e+08,2.8526762e+08,3.5609037e+08,3.8068963e+08,2.1350645e+08,2.1350645e+08,6.83339e+07,2.3127797e+08,MSE
2020-10-01,IN_B02,1.3953265e+06,987653.56,1.1029378e+06,2.7032732e+06,1.3953265e+06,4.524669e+06,1.5851162e+06,1.4287434e+06,MSE
2020-10-01,IN_B03,2.0459556e+07,1.1858022e+07,6.612779e+06,1.1510233e+07,6.8200115e+06,6.8200115e+06,3.488732e+06,7.187249e+06,MSE
2020-10-01,IN_B05,2.7817805e+08,1.8650602e+08,2.8557866e+08,2.8127818e+08,2.7817805e+08,2.7817805e+08,4.8644336e+08,2.765939e+08,MSE
2020-10-01,IN_B06,596539.5,607561.3,466804.8,464801.25,607561.3,607561.3,509579.38,505559.88,MSE
2020-10-01,IN_C01,2.3308083e+08,8.478312e+07,3.904168e+07,7.71332e+07,8.478312e+07,8.478312e+07,1.4988224e+08,9.6808056e+07,MSE
2020-10-01,IN_C02,3.2234072e+07,5.300809e+07,4.3006548e+07,6.2601332e+07,3.2234072e+07,3.2234072e+07,8.352083e+07,3.037229e+07,MSE
2020-10-01,IN_C03,1.3230659e+08,3.3402112e+08,1.3603571e+08,1.1969056e+08,7.00921e+07,7.00921e+07,1.03805336e+08,9.80971e+07,MSE
2020-10-01,IN_C04,2334.75,6597.579,939.6875,3138.5,6597.579,6597.579,3670.2668,4285.425,MSE
2020-10-01,IN_C05,6.940096e+07,8.515123e+06,8.0112536e+07,8.235434e+07,7.372961e+07,5.7702416e+07,8.760835e+07,7.495275e+07,MSE
2020-10-01,IN_C07,5.1903364e+07,3.6536454e+08,9.476343e+07,9.2276664e+07,8.631722e+07,8.631722e+07,8.8395304e+07,5.1959532e+07,MSE
2020-10-01,IN_C08,1.8395694e+07,1.2079323e+08,4.3976384e+07,4.301887e+07,2.1266954e+07,2.1266954e+07,3.996149e+07,1.8487876e+07,MSE
2020-10-01,IN_C09,4.0669668e+07,1.16602584e+08,1.536049e+08,1.7944973e+08,1.16602584e+08,1.16602584e+08,2.1697157e+08,4.0933548e+07,MSE
2020-10-01,IN_C10,1.9195302e+08,5.2961846e+08,3.2845805e+08,3.1478458e+08,2.760679e+08,2.760679e+08,2.9331014e+08,1.9258184e+08,MSE
2020-10-01,IN_D01,9.838243e+07,8.683862e+07,2.4795418e+08,1.9317222e+08,8.683862e+07,8.683862e+07,1.2663908e+08,1.04006184e+08,MSE
2020-10-01,IN_D02,5.694175e+06,3.3500232e+06,4.656453e+06,5.518543e+06,3.3500232e+06,3.3500232e+06,4.3680575e+06,3.8574352e+06,MSE
2020-10-01,IN_D04,4.19485e+07,8.96619e+07,1.9807066e+07,3.5498212e+07,4.19485e+07,4.19485e+07,2.2286516e+07,2.0301778e+07,MSE
2020-10-01,IN_D05,2.476935e+06,588086.5,3.3624235e+06,3.7668285e+06,2.476935e+06,2.476935e+06,2.6197572e+06,2.4305218e+06,MSE
2020-10-01,IN_D06,1.2959618e+08,1.8964484e+07,1.9077328e+07,4.204379e+07,1.8964484e+07,1.8964484e+07,2.361116e+07,1.9011938e+07,MSE
2020-10-01,IN_D07,7.6629037e+08,1.8107578e+08,1.1575191e+09,1.278288e+09,3.4152746e+08,3.4152746e+08,1.2574838e+09,1.0462675e+09,MSE
2020-10-01,IN_D08,136025.5,192480.31,96531.5,26337.0,192480.31,192480.31,1.3674592e+06,273318.12,MSE
2020-10-01,IN_D10,2.6738458e+08,3.6598483e+08,5.792663e+08,6.469766e+08,3.344928e+08,3.344928e+08,5.748102e+08,4.1645024e+08,MSE
2020-10-01,IN_D11,1.2211261e+08,1.190354e+08,1.3855051e+08,1.4346854e+08,1.190354e+08,9.799176e+07,1.0627338e+08,1.1481413e+08,MSE
2020-10-01,IN_G01,3.9885056e+07,4.4468784e+07,7.912517e+07,1.17133256e+08,7.137308e+07,7.137308e+07,1.1654669e+08,6.993316e+07,MSE
2020-10-01,IN_G02,1.3458854e+09,1.2510232e+08,6.769971e+08,7.3786355e+08,1.2510232e+08,8.8610904e+07,5.0573555e+08,1.7585664e+09,MSE
2020-10-01,IN_G03,3.2098787e+08,7.310079e+08,2.8347942e+08,2.779499e+08,2.7290218e+08,1.9031245e+08,2.1868125e+08,2.7292682e+08,MSE
2020-10-01,IN_G04,2.5876422e+06,1.1605222e+07,9.027026e+06,9.16745e+06,3.6557732e+06,3.6557732e+06,1.7933718e+06,2.6171598e+06,MSE
2020-10-01,IN_H01,11471.5,27423.062,3054.75,8224.5,13538.607,13538.607,28009.006,11447.881,MSE
2020-10-01,IN_H02,4.5564264e+07,1.20209976e+08,3.1112136e+07,4.329821e+07,1.0168606e+08,2.5660234e+08,5.025019e+07,4.039037e+07,MSE
