NDC,record_id,ATC4 Class
00143959401,AK_2024_4_FFSU_00143959401,R02AD
00054317644,AK_2024_4_FFSU_00054317644,D07XB
00245086070,AK_2024_4_FFSU_00245086070,A01AB
00009001201,AK_2024_4_FFSU_00009001201,S01BA
00002143380,AK_2024_4_FFSU_00002143380,A10BJ
00378905593,AK_2024_4_FFSU_00378905593,D04AB
00054418425,AK_2024_4_FFSU_00054418425,D07AB
00406802003,AK_2024_4_FFSU_00406802003,N02AE
00406012405,AK_2024_4_FFSU_00406012405,N02AJ
00054001729,AK_2024_4_FFSU_00054001729,H02AB
00378087199,AK_2024_4_FFSU_00378087199,C02AC
00115991801,AK_2024_4_FFSU_00115991801,N06BA
00186037020,AK_2024_4_FFSU_00186037020,R01AD
00406012701,AK_2024_4_FFSU_00406012701,N06BA
00406012310,AK_2024_4_FFSU_00406012310,N02AJ
00406577101,AK_2024_4_FFSU_00406577101,N07BC
00168000215,AK_2024_4_FFSU_00168000215,A01AC
00003029305,AK_2024_4_FFSU_00003029305,A01AC
00143211205,AK_2024_4_FFSU_00143211205,A01AB
00338004804,AK_2024_4_FFSU_00338004804,B05XA
00054817625,AK_2024_4_FFSU_00054817625,A01AC
00078079975,AK_2024_4_FFSU_00078079975,S02AA
00378082501,AK_2024_4_FFSU_00378082501,N05AH
00143959401,AK_2024_4_FFSU_00143959401,S01HA
00169255013,AK_2024_4_FFSU_00169255013,A10AE
00378425001,AK_2024_4_FFSU_00378425001,D04AX
00168000215,AK_2024_4_FFSU_00168000215,C05AA
00093078701,AK_2024_4_FFSU_00093078701,C07AB
00002821501,AK_2024_4_FFSU_00002821501,A10AC
00338069104,AK_2024_4_FFSU_00338069104,A12CA
00003029305,AK_2024_4_FFSU_00003029305,C05AA
00338069104,AK_2024_4_FFSU_00338069104,A12BA
00093816301,AK_2024_4_FFSU_00093816301,N05AH
00456120130,AK_2024_4_FFSU_00456120130,A06AX
00338170940,AK_2024_4_FFSU_00338170940,V04CC
00054318863,AK_2024_4_FFSU_00054318863,N05BA
00168009930,AK_2024_4_FFSU_00168009930,H02CA
00228212750,AK_2024_4_FFSU_00228212750,S01EA
00338004904,AK_2024_4_FFSU_00338004904,A12CA
00054817625,AK_2024_4_FFSU_00054817625,C05AA
00093117701,AK_2024_4_FFSU_00093117701,B05CA
00378335099,AK_2024_4_FFSU_00378335099,G03CA
00003029305,AK_2024_4_FFSU_00003029305,D07AB
00054429931,AK_2024_4_FFSU_00054429931,C03CA
00228305911,AK_2024_4_FFSU_00228305911,N06BA
00093681773,AK_2024_4_FFSU_00093681773,D07AC
00054418425,AK_2024_4_FFSU_00054418425,D07XB
00054032656,AK_2024_4_FFSU_00054032656,D07AC
00093202694,AK_2024_4_FFSU_00093202694,J01FA
00168035730,AK_2024_4_FFSU_00168035730,C01BB
00378728753,AK_2024_4_FFSU_00378728753,G03CA
00074372790,AK_2024_4_FFSU_00074372790,H03AA
00054817625,AK_2024_4_FFSU_00054817625,S01BA
00006027782,AK_2024_4_FFSU_00006027782,A10BH
00093323405,AK_2024_4_FFSU_00093323405,A07EC
00378868835,AK_2024_4_FFSU_00378868835,D10AF
00245003660,AK_2024_4_FFSU_00245003660,C10AC
00032263601,AK_2024_4_FFSU_00032263601,A09AA
00406800330,AK_2024_4_FFSU_00406800330,N02AA
00378425001,AK_2024_4_FFSU_00378425001,N06AA
00004080085,AK_2024_4_FFSU_00004080085,J05AH
00409189001,AK_2024_4_FFSU_00409189001,N02AA
00002143480,AK_2024_4_FFSU_00002143480,A10BJ
00185209801,AK_2024_4_FFSU_00185209801,N06BA
00378932132,AK_2024_4_FFSU_00378932132,D07AC
00406052205,AK_2024_4_FFSU_00406052205,N02AJ
00046110511,AK_2024_4_FFSU_00046110511,G03AC
00338954304,AK_2024_4_FFSU_00338954304,B05CB
00378868854,AK_2024_4_FFSU_00378868854,G01AA
00078063941,AK_2024_4_FFSU_00078063941,L04AC
00168025815,AK_2024_4_FFSU_00168025815,D07AC
00378905593,AK_2024_4_FFSU_00378905593,N01BB
00003029305,AK_2024_4_FFSU_00003029305,D07XB
00078069667,AK_2024_4_FFSU_00078069667,C09CA
00378718505,AK_2024_4_FFSU_00378718505,A10BA
00409677802,AK_2024_4_FFSU_00409677802,N05BA
00406889101,AK_2024_4_FFSU_00406889101,N06BA
00093505898,AK_2024_4_FFSU_00093505898,C10AA
00074929690,AK_2024_4_FFSU_00074929690,H03AA
00003029328,AK_2024_4_FFSU_00003029328,D07AB
00054418325,AK_2024_4_FFSU_00054418325,S02BA
00002822259,AK_2024_4_FFSU_00002822259,A10AC
00054317644,AK_2024_4_FFSU_00054317644,H02AB
00173069600,AK_2024_4_FFSU_00173069600,D07AC
00378668877,AK_2024_4_FFSU_00378668877,A02BC
00054417925,AK_2024_4_FFSU_00054417925,S01BA
00116400516,AK_2024_4_FFSU_00116400516,A06AD
00409655701,AK_2024_4_FFSU_00409655701,G03BA
00093202631,AK_2024_4_FFSU_00093202631,J01FA
00009028002,AK_2024_4_FFSU_00009028002,D10AA
00009001201,AK_2024_4_FFSU_00009001201,S01CB
00009001104,AK_2024_4_FFSU_00009001104,S02BA
00378876893,AK_2024_4_FFSU_00378876893,N07BC
00378868854,AK_2024_4_FFSU_00378868854,D10AE
00173088210,AK_2024_4_FFSU_00173088210,R01AD
00168020437,AK_2024_4_FFSU_00168020437,C01BB
00378827093,AK_2024_4_FFSU_00378827093,R03AC
00078079975,AK_2024_4_FFSU_00078079975,D10AA
00002146080,AK_2024_4_FFSU_00002146080,A10BX
00093873901,AK_2024_4_FFSU_00093873901,C01BB
00338001748,AK_2024_4_FFSU_00338001748,B05BA
00378808245,AK_2024_4_FFSU_00378808245,L01XF
00406048410,AK_2024_4_FFSU_00406048410,R05DA
00121088516,AK_2024_4_FFSU_00121088516,D07AA
00093005305,AK_2024_4_FFSU_00093005305,N05BE
00264780020,AK_2024_4_FFSU_00264780020,B05XA
00115441101,AK_2024_4_FFSU_00115441101,M03CA
00406012505,AK_2024_4_FFSU_00406012505,R05DA
00378868835,AK_2024_4_FFSU_00378868835,J01FF
00143959525,AK_2024_4_FFSU_00143959525,C05AD
00406051262,AK_2024_4_FFSU_00406051262,N02AJ
00406052305,AK_2024_4_FFSU_00406052305,N02AJ
00054418425,AK_2024_4_FFSU_00054418425,H02AB
00264775000,AK_2024_4_FFSU_00264775000,G04BA
00186037220,AK_2024_4_FFSU_00186037220,R03AC
00054350049,AK_2024_4_FFSU_00054350049,S02DA
00338004941,AK_2024_4_FFSU_00338004941,A12CA
00093406801,AK_2024_4_FFSU_00093406801,C02CA
00310908012,AK_2024_4_FFSU_00310908012,R01AD
00409198530,AK_2024_4_FFSU_00409198530,N05BA
00378905593,AK_2024_4_FFSU_00378905593,C05AD
00054817625,AK_2024_4_FFSU_00054817625,S01CB
00168000215,AK_2024_4_FFSU_00168000215,R01AD
00003029305,AK_2024_4_FFSU_00003029305,R01AD
00378395305,AK_2024_4_FFSU_00378395305,C10AA
00009028051,AK_2024_4_FFSU_00009028051,D10AA
00115170901,AK_2024_4_FFSU_00115170901,N06BA
00054817625,AK_2024_4_FFSU_00054817625,R01AD
00115169449,AK_2024_4_FFSU_00115169449,C01CA
00054001820,AK_2024_4_FFSU_00054001820,H02AB
00406800503,AK_2024_4_FFSU_00406800503,N02AE
00378334053,AK_2024_4_FFSU_00378334053,G03CA
00002821501,AK_2024_4_FFSU_00002821501,A10AB
00406012501,AK_2024_4_FFSU_00406012501,N02AJ
00378464426,AK_2024_4_FFSU_00378464426,G03CA
00093171410,AK_2024_4_FFSU_00093171410,B01AA
00002880559,AK_2024_4_FFSU_00002880559,A10AC
00003029305,AK_2024_4_FFSU_00003029305,H02AB
00121079916,AK_2024_4_FFSU_00121079916,N03AX
00406889301,AK_2024_4_FFSU_00406889301,N06BA
00168032346,AK_2024_4_FFSU_00168032346,A01AB
00378464026,AK_2024_4_FFSU_00378464026,G03CA
00023114501,AK_2024_4_FFSU_00023114501,M03AX
00054032756,AK_2024_4_FFSU_00054032756,R03AC
