index,unique_id,ds,Naive,Naive-lo-95,Naive-hi-95,HistoricAverage,HistoricAverage-lo-95,HistoricAverage-hi-95,WindowAverage,WindowAverage-lo-95,WindowAverage-hi-95,SeasonalNaive,SeasonalNaive-lo-95,SeasonalNaive-hi-95,ARIMA,ARIMA-lo-95,ARIMA-hi-95,SARIMA,SARIMA-lo-95,SARIMA-hi-95,HoltWinters,HoltWinters-lo-95,HoltWinters-hi-95,DynamicOptimizedTheta,DynamicOptimizedTheta-lo-95,DynamicOptimizedTheta-hi-95
92,IN_C08,2025-01-01,2752184.5,2425448.710447821,3078920.289552179,2600208.2445833334,1220267.8365965597,3980148.652570107,3350481.5,2694081.613955707,4006881.386044293,3350481.5,2694081.613955707,4006881.386044293,2752184.5,2425448.378393241,3078920.621606759,2752184.5,2425448.378393241,3078920.621606759,2842309.340834613,2510004.4588118237,3174614.222857402,2818995.97419279,2625625.084108618,3049296.816938022
93,IN_C08,2025-04-01,2752184.5,2290110.3151026266,3214258.6848973734,2600208.2445833334,1220267.8365965597,3980148.652570107,3311409.0,2655009.113955707,3967808.886044293,3311409.0,2655009.113955707,3967808.886044293,2752184.5,2290109.8455065372,3214259.1544934628,2752184.5,2290109.8455065372,3214259.1544934628,2970447.2949948236,2503075.5342406663,3437819.055748981,2871774.952604926,2539279.297324602,3183397.5418104553
94,IN_C08,2025-07-01,2752184.5,2186261.511844493,3318107.488155507,2600208.2445833334,1220267.8365965597,3980148.652570107,3172560.0,2516160.113955707,3828959.886044293,3172560.0,2516160.113955707,3828959.886044293,2752184.5,2186260.936709091,3318108.063290909,2752184.5,2186260.936709091,3318108.063290909,2925583.9876322765,2354210.1745393756,3496957.8007251774,2827815.1172743277,2401139.907937215,3206474.682553453
95,IN_C08,2025-10-01,2752184.5,2098712.920895641,3405656.079104359,2600208.2445833334,1220267.8365965597,3980148.652570107,2752184.5,2095784.6139557068,3408584.386044293,2752184.5,2095784.6139557068,3408584.386044293,2752184.5,2098712.256786483,3405656.743213517,2752184.5,2098712.256786483,3405656.743213517,2916154.0855498975,2256971.5983444583,3575336.5727553368,2847839.8077298314,2403688.407261833,3287636.2925479454
96,IN_C09,2025-01-01,5352094.397,4584426.240342904,6119762.553657096,5300280.706916667,2709575.650237099,7890985.763596235,6395859.815,4771798.680500831,8019920.949499169,6395859.815,4771798.680500831,8019920.949499169,5352094.397,4584425.644444386,6119763.149555614,5352094.397,4584425.644444386,6119763.149555614,5490395.88418264,4648834.464146457,6331957.304218824,5403687.775011176,4877532.00166536,6030329.0761988675
97,IN_C09,2025-04-01,5352094.397,4266447.6784535805,6437741.115546419,5300280.706916667,2709575.650237099,7890985.763596235,6227780.905,4603719.770500831,7851842.039499169,6227780.905,4603719.770500831,7851842.039499169,5352094.397,4266446.835725814,6437741.958274186,5352094.397,4266446.835725814,6437741.958274186,5704658.736535568,4514692.39064,6894625.082431136,5414358.614370176,4517703.770317604,6254317.606427138
98,IN_C09,2025-07-01,5352094.397,4022454.1463171653,6681734.647682834,5300280.706916667,2709575.650237099,7890985.763596235,6103584.61,4479523.475500831,7727645.744499169,6103584.61,4479523.475500831,7727645.744499169,5352094.397,4022453.1141906544,6681735.679809345,5352094.397,4022453.1141906544,6681735.679809345,5668297.378233011,4210917.608200194,7125677.148265827,5360637.54685306,4195758.58072859,6392468.606997969
99,IN_C09,2025-10-01,5352094.397,3816758.0836858074,6887430.710314192,5300280.706916667,2709575.650237099,7890985.763596235,5352094.397,3728033.262500831,6976155.531499169,5352094.397,3728033.262500831,6976155.531499169,5352094.397,3816756.8918887703,6887431.9021112295,5352094.397,3816756.8918887703,6887431.9021112295,5642247.086171972,3959382.4727617316,7325111.699582212,5359603.952759144,4151636.614977582,6559825.181731865
100,IN_C10,2025-01-01,6546070.601,5885246.517616028,7206894.684383972,5932858.311944444,2713900.51166112,9151816.112227768,7782285.06,6334610.880908409,9229959.23909159,7782285.06,6334610.880908409,9229959.23909159,6643113.695142857,6001013.329431219,7285214.060854495,6643113.695142857,6001013.329431219,7285214.060854495,6673857.002501213,5991789.943639103,7355924.061363323,6603787.361993398,6174234.32977862,7115377.374562043
101,IN_C10,2025-04-01,6546070.601,5611524.219935618,7480616.982064381,5932858.311944444,2713900.51166112,9151816.112227768,7605857.341,6158183.16190841,9053531.520091591,7605857.341,6158183.16190841,9053531.520091591,6740156.789285714,5832089.743691591,7648223.834879837,6740156.789285714,5832089.743691591,7648223.834879837,6952269.951236642,5993203.0517150415,7911336.850758242,6741323.803388356,6001807.124520652,7434425.956662029
102,IN_C10,2025-07-01,6546070.601,5401489.7137138285,7690651.488286171,5932858.311944444,2713900.51166112,9151816.112227768,7538300.274,6090626.09490841,8985974.453091592,7538300.274,6090626.09490841,8985974.453091592,6837199.883428572,5725049.426457457,7949350.340399686,6837199.883428572,5725049.426457457,7949350.340399686,6988379.079705964,5815839.750261546,8160918.409150382,6787834.460517733,5818214.357514784,7648435.915969068
103,IN_C10,2025-10-01,6546070.601,5224422.434232056,7867718.767767943,5932858.311944444,2713900.51166112,9151816.112227768,6546070.601,5098396.421908409,7993744.78009159,6546070.601,5098396.421908409,7993744.78009159,6934242.977571428,5650042.246148151,8218443.708994704,6934242.977571428,5650042.246148151,8218443.708994704,6944148.026607052,5591249.961415103,8297046.091799002,6797949.375353996,5794706.882361522,7790882.944603085
104,IN_D01,2025-01-01,1365171.141,783923.576847659,1946418.7051523412,938867.444388889,236164.84913867293,1641570.039639105,1333213.272,489633.80305450095,2176792.7409454994,1333213.272,489633.80305450095,2176792.7409454994,1365171.141,783923.5444692314,1946418.7375307688,1365171.141,783923.5444692314,1946418.7375307688,1406582.1750440332,840539.7520786191,1972624.5980094473,1447089.1945805917,982658.0,2000218.0
105,IN_D01,2025-04-01,1365171.141,543162.9526794336,2187179.3293205667,938867.444388889,236164.84913867293,1641570.039639105,1711535.356,867955.8870545008,2555114.824945499,1711535.356,867955.8870545008,2555114.824945499,1365171.141,543162.9068894223,2187179.375110578,1365171.141,543162.9068894223,2187179.375110578,1597149.1904529273,923199.716614033,2271098.6642918214,1447089.1945805917,766427.625,2088750.375
106,IN_D01,2025-07-01,1365171.141,358420.8281124949,2371921.4538875055,938867.444388889,236164.84913867293,1641570.039639105,1596960.9840000002,753381.515054501,2440540.452945499,1596960.9840000002,753381.515054501,2440540.452945499,1365171.141,358420.7720314133,2371921.5099685867,1365171.141,358420.7720314133,2371921.5099685867,1664681.5561767856,897681.17772154,2431681.9346320312,1447089.1945805917,634750.0625,2185541.75
107,IN_D01,2025-10-01,1365171.141,202676.01269531786,2527666.2693046825,938867.444388889,236164.84913867293,1641570.039639105,1365171.141,521591.6720545009,2208750.6099454993,1365171.141,521591.6720545009,2208750.6099454993,1365171.141,202675.94793846272,2527666.3340615374,1365171.141,202675.94793846272,2527666.3340615374,1478847.0382715564,628759.1754568744,2328934.901086238,1447089.1945805917,667609.0,2229189.25
108,IN_D02,2025-01-01,369178.087,41484.94822920766,696871.2257707923,442358.0444444444,136049.79046610993,748666.298422779,491826.485,78533.93133588904,905119.0386641109,491826.485,78533.93133588904,905119.0386641109,434544.46988294396,144832.85959159065,724256.0801742973,434544.46988294396,144832.85959159065,724256.0801742973,553094.5151823583,253741.18217477924,852447.8481899374,508155.02979812445,263040.6875,800081.5625
109,IN_D02,2025-04-01,369178.087,-94249.99414626329,832606.1681462633,442358.0444444444,136049.79046610993,748666.298422779,517353.977,104061.42333588906,930646.530664111,517353.977,104061.42333588906,930646.530664111,484598.9955095125,171455.5204836906,797742.4705353344,484598.9955095125,171455.5204836906,797742.4705353344,594709.1651774616,295355.8232482423,894062.5071066809,508155.029847914,222298.84375,792433.625
110,IN_D02,2025-07-01,369178.087,-198403.078642731,936759.252642731,442358.0444444444,136049.79046610993,748666.298422779,620291.775,206999.22133588907,1033584.328664111,620291.775,206999.22133588907,1033584.328664111,484598.9955095125,169569.15682590235,799628.8341931226,484598.9955095125,169569.15682590235,799628.8341931226,619099.0392933257,319745.6795764189,918452.3990102326,508155.0298960973,151197.953125,811837.25
111,IN_D02,2025-10-01,369178.087,-286208.1905415847,1024564.3645415846,442358.0444444444,136049.79046610993,748666.298422779,369178.087,-44114.46666411095,782470.6406641109,369178.087,-44114.46666411095,782470.6406641109,484598.9955095125,167694.02147029788,801503.9695487272,484598.9955095125,167694.02147029788,801503.9695487272,489881.9629823018,190528.573582743,789235.3523818606,508155.02994274464,213509.453125,813322.125
112,IN_D03,2025-01-01,34.0,-11763.969163148307,11831.969163148307,12984.408965517241,-6456.528870763623,32425.346801798107,25.0,-21802.77904171948,21852.77904171948,25.0,-21802.77904171948,21852.77904171948,34.0,-11763.969488909606,11831.969488909606,34.0,-11763.969488909606,11831.969488909606,1484.4702649479839,-12252.98538771416,15221.925917610128,33.86931088686971,-8960.4345703125,10745.9140625
113,IN_D03,2025-04-01,34.0,-16650.847998983892,16718.847998983892,12984.408965517241,-6456.528870763623,32425.346801798107,14.0,-21813.77904171948,21841.77904171948,14.0,-21813.77904171948,21841.77904171948,34.0,-16650.84845967994,16718.84845967994,34.0,-16650.84845967994,16718.84845967994,2468.823881670761,-16129.955319106844,21067.603082448364,33.86931088686971,-15263.68359375,14364.142578125
