cl1,cl2,unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble,,model
,,IN_C05,10/1/2026,423367.41590266465,450800.2,482846.62463017175,756412.5396010302,518374.9920023913,,#N/A
,,IN_C07,1/1/2025,6488064.602976258,7.006514e+06,6391555.631082693,6432645.602064334,6579797.535946946,,#N/A
,,IN_C07,4/1/2025,6698081.323074841,7.261198e+06,6499722.984794129,6519802.720952088,6745673.829,,#N/A
,,IN_C07,7/1/2025,6932054.596765745,7.168218e+06,6368883.619452924,6356807.859886391,6707423.668649113,,#N/A
,,IN_C07,10/1/2025,6866749.761,7.2841775e+06,6446489.968114084,6352142.295,6742011.187683786,,#N/A
,,IN_C07,1/1/2026,7119880.605417142,7.597817e+06,6427727.761247573,6441281.452,6897377.999160906,,#N/A
,,IN_C07,4/1/2026,7102173.770015717,8.2173545e+06,6388933.288256814,6423745.5838162955,7035005.922,,#N/A
,,IN_C07,7/1/2026,7274244.293364848,8.298226e+06,6374051.959842061,6393377.143155893,7087117.321422592,,#N/A
,,IN_C07,10/1/2026,7484325.797,8.402396e+06,6374724.797354518,6355039.821539801,7157262.635513486,,#N/A
,,IN_C08,1/1/2025,3007813.812080437,2.9581378e+06,2836607.6119813537,2973234.4958800627,2938662.5778312935,,#N/A
,,IN_C08,4/1/2025,2926928.637373633,3.1434848e+06,2817138.3453974673,3025323.5252238065,2971176.642022498,,#N/A
,,IN_C08,7/1/2025,2629627.3582489206,3.0529712e+06,2740674.6101064365,2956599.777988989,2838411.5260851057,,#N/A
,,IN_C08,10/1/2025,2690471.824192865,3.133584e+06,2754931.1224032096,2957531.5217259577,2878105.8094740855,,#N/A
,,IN_C08,1/1/2026,2794230.3730503656,3.215478e+06,2767659.4171331176,3058024.9574806467,2949470.2943916544,,#N/A
,,IN_C08,4/1/2026,2804510.4030773286,3.2217595e+06,2772020.619671332,3074283.7898406726,2958310.7828969755,,#N/A
,,IN_C08,7/1/2026,2968943.078889111,3.2170482e+06,2729755.0511840736,3064313.684440489,2983346.6917163134,,#N/A
,,IN_C08,10/1/2026,2961089.8597894944,3.1888248e+06,2731658.2594329435,3046328.9164393726,2970980.539529793,,#N/A
,,IN_C09,1/1/2025,5886544.3670008555,6.250809e+06,5782297.852876291,5626462.386,5893401.208379403,,#N/A
,,IN_C09,4/1/2025,5878786.285091086,6.154505e+06,5665347.412286347,5697456.2477208115,5848621.358058945,,#N/A
,,IN_C09,7/1/2025,6092285.110571583,6.3548815e+06,5792234.564665814,5567066.185388587,5960627.827631771,,#N/A
,,IN_C09,10/1/2025,6148789.949627093,6.335592e+06,5833775.268875039,5560799.490352148,5980264.146562296,,#N/A
,,IN_C09,1/1/2026,6187121.659,6.7655575e+06,6032271.547212524,5650993.239576628,6174844.808,,#N/A
,,IN_C09,4/1/2026,6156412.626058138,6.9719045e+06,6225462.865866095,5643003.487497231,6273351.014817344,,#N/A
,,IN_C09,7/1/2026,6101897.643407012,6.80928e+06,6311511.727853613,5617014.635559015,6237937.538956711,,#N/A
,,IN_C09,10/1/2026,6023726.165550479,6.817619e+06,6278219.899201431,5583129.448377848,6204006.702,,#N/A
,,IN_C10,1/1/2025,6915237.854555705,7.242414e+06,6765175.113229765,6863644.599771349,6943961.830543635,,#N/A
,,IN_C10,4/1/2025,6624266.764821609,6.9385925e+06,6717418.258867048,6956758.712703073,6801478.932160648,,#N/A
,,IN_C10,7/1/2025,6531383.589,6.933512e+06,6676623.963820375,6784858.039744044,6728961.277803169,,#N/A
,,IN_C10,10/1/2025,6614972.459,6.9894535e+06,6706344.517,6777637.081610382,6770717.693028543,,#N/A
,,IN_C10,1/1/2026,7150787.556804542,7.323275e+06,6667535.231851171,6865458.577885816,6994778.754251285,,#N/A
,,IN_C10,4/1/2026,7086940.207,7.420335e+06,6705205.995314125,6844175.374460859,7009921.144550095,,#N/A
,,IN_C10,7/1/2026,7262152.197364836,7.5147745e+06,6712037.031,6810968.0560017135,7071877.079013785,,#N/A
,,IN_C10,10/1/2026,7311982.517949582,8.2084385e+06,6721782.395212318,6770076.461289827,7253882.979301572,,#N/A
,,IN_D01,1/1/2025,1339216.0102294565,1.3748074e+06,1417931.2262771768,1573081.4713102917,1420684.0873413025,,#N/A
,,IN_D01,4/1/2025,1327187.8644490272,1.3744286e+06,1374444.8941113597,1611004.5019200875,1413208.5878008064,,#N/A
,,IN_D01,7/1/2025,1324482.8116111183,1.3593171e+06,1364747.150437836,1574375.3647086043,1398123.644969513,,#N/A
