NDC,ATC5 Class
52544095021,No RxCUI Found
59088069554,No RxCUI Found
62332059805,No ATC Mapping Found
70436015157,No ATC Mapping Found
13668040930,No RxCUI Found
63323073902,No RxCUI Found
60258000601,No RxCUI Found
64253022235,No RxCUI Found
24208092064,No RxCUI Found
99999119705,No RxCUI Found
67253090150,No RxCUI Found
75834005001,No RxCUI Found
00781300995,No RxCUI Found
00074751716,No RxCUI Found
50419032501,No RxCUI Found
00093577156,No RxCUI Found
68001019700,No RxCUI Found
00074762003,No RxCUI Found
00904264172,No RxCUI Found
70211070233,No ATC Mapping Found
23594070050,No RxCUI Found
00407141388,No RxCUI Found
58406043504,No RxCUI Found
00591322379,No RxCUI Found
51991090833,No RxCUI Found
14789001110,No RxCUI Found
69097053431,No RxCUI Found
00536187516,No RxCUI Found
00555071558,No RxCUI Found
00121054410,No RxCUI Found
63323028637,No RxCUI Found
00121048910,No RxCUI Found
00407294302,No RxCUI Found
11994009001,No RxCUI Found
00338630402,No RxCUI Found
00409662925,No RxCUI Found
37205074797,No RxCUI Found
60258016101,No RxCUI Found
50419011511,No RxCUI Found
66302015050,No RxCUI Found
00115133201,No RxCUI Found
70000038501,No RxCUI Found
00944755302,No ATC Mapping Found
00536137801,No RxCUI Found
00093292901,No RxCUI Found
00486111105,No ATC Mapping Found
00409277623,No RxCUI Found
00603497520,No RxCUI Found
61269015301,No RxCUI Found
24208062901,No ATC Mapping Found
00574007216,No RxCUI Found
00603307932,No RxCUI Found
63739043210,No RxCUI Found
00904131309,No RxCUI Found
50268006750,No ATC Mapping Found
70000036401,No ATC Mapping Found
63739034910,No RxCUI Found
60505609305,No RxCUI Found
60258019309,No RxCUI Found
10019066001,No RxCUI Found
00703868023,No RxCUI Found
46122012271,No RxCUI Found
60258019001,No RxCUI Found
00409433249,No RxCUI Found
00591570801,No RxCUI Found
00904632951,No ATC Mapping Found
60505038105,No RxCUI Found
00904645760,No RxCUI Found
00591321372,No RxCUI Found
10572010101,No RxCUI Found
00642747330,No RxCUI Found
70000009001,No ATC Mapping Found
00603543721,No RxCUI Found
62011024701,No RxCUI Found
70000009002,No ATC Mapping Found
00904053980,No RxCUI Found
63739067210,No RxCUI Found
00407294301,No RxCUI Found
00093423301,No RxCUI Found
75854030830,No RxCUI Found
00781285505,No RxCUI Found
00407222216,No RxCUI Found
68001026632,No RxCUI Found
00093611816,No RxCUI Found
68084087001,No RxCUI Found
23594060050,No RxCUI Found
